rank,feature,mean_abs_shap,pct_total
1,qtd_alarmes_nivel_muito_alto_360min,1.583905,41.04
2,tipo_caminhao,0.921855,23.89
3,razao_alarme_7d_vs_30d_anterior,0.428478,11.1
4,tag_freq,0.127534,3.3
5,mes,0.080504,2.09
6,razao_severidade_14d_vs_60d,0.076431,1.98
7,frota_793D_4S,0.073254,1.9
8,taxa_DG_operador_30d,0.068736,1.78
9,frota_793D_5S,0.058296,1.51
10,count_total_24h,0.051487,1.33
11,horas_desde_ultimo_critico,0.042672,1.11
12,operador_freq,0.03256,0.84
13,dia_semana,0.028918,0.75
14,count_total_4h,0.027634,0.72
15,count_nao_critico_1h,0.027387,0.71
16,count_nao_critico_24h,0.02538,0.66
17,count_nao_critico_8h,0.025264,0.65
18,count_total_8h,0.020505,0.53
19,count_critico_24h,0.019975,0.52
20,count_critico_8h,0.018699,0.48
21,count_total_2h,0.01794,0.46
22,count_total_1h,0.016863,0.44
23,estado_pre_evento,0.014181,0.37
24,count_nao_critico_2h,0.013584,0.35
25,hora_dia,0.013088,0.34
26,n_bypasses_operador_7d,0.01019,0.26
27,count_critico_4h,0.007036,0.18
28,count_critico_2h,0.006588,0.17
29,count_nao_critico_4h,0.006278,0.16
30,turno,0.00548,0.14
31,count_critico_1h,0.003808,0.1
32,frota_793D_2S,0.003409,0.09
33,frota_793D_3S,0.001193,0.03
34,valor_disponivel,0.00031,0.01
