subgrupo,n_eventos,rank,feature,mean_abs_shap,pct_total
test_completo,71089,1,horas_desde_ultimo_DG,0.968469,39.27
test_completo,71089,2,qtd_alarmes_nivel_muito_alto_360min,0.766515,31.08
test_completo,71089,3,razao_alarme_7d_vs_30d_anterior,0.211467,8.57
test_completo,71089,4,tipo_caminhao,0.122313,4.96
test_completo,71089,5,tag_freq,0.040925,1.66
test_completo,71089,6,count_total_24h,0.032035,1.3
test_completo,71089,7,horas_desde_ultimo_critico,0.0297,1.2
test_completo,71089,8,razao_severidade_14d_vs_60d,0.026955,1.09
test_completo,71089,9,mes,0.021977,0.89
test_completo,71089,10,count_nao_critico_8h,0.020926,0.85
CA65926,7083,1,horas_desde_ultimo_DG,1.236985,36.92
CA65926,7083,2,qtd_alarmes_nivel_muito_alto_360min,1.142461,34.1
CA65926,7083,3,razao_alarme_7d_vs_30d_anterior,0.338896,10.12
CA65926,7083,4,tipo_caminhao,0.067287,2.01
CA65926,7083,5,horas_desde_ultimo_critico,0.063559,1.9
CA65926,7083,6,razao_severidade_14d_vs_60d,0.045384,1.35
CA65926,7083,7,count_nao_critico_2h,0.037027,1.11
CA65926,7083,8,count_nao_critico_1h,0.03407,1.02
CA65926,7083,9,count_nao_critico_4h,0.029809,0.89
CA65926,7083,10,tag_freq,0.029323,0.88
resto_test (sem CA65926),64006,1,horas_desde_ultimo_DG,0.938754,39.64
resto_test (sem CA65926),64006,2,qtd_alarmes_nivel_muito_alto_360min,0.724913,30.61
resto_test (sem CA65926),64006,3,razao_alarme_7d_vs_30d_anterior,0.197366,8.33
resto_test (sem CA65926),64006,4,tipo_caminhao,0.128403,5.42
resto_test (sem CA65926),64006,5,tag_freq,0.042209,1.78
resto_test (sem CA65926),64006,6,count_total_24h,0.033555,1.42
resto_test (sem CA65926),64006,7,horas_desde_ultimo_critico,0.025953,1.1
resto_test (sem CA65926),64006,8,razao_severidade_14d_vs_60d,0.024915,1.05
resto_test (sem CA65926),64006,9,mes,0.021959,0.93
resto_test (sem CA65926),64006,10,count_nao_critico_8h,0.020433,0.86
categorias_conhecidas (treino),69277,1,horas_desde_ultimo_DG,0.970792,39.27
categorias_conhecidas (treino),69277,2,qtd_alarmes_nivel_muito_alto_360min,0.768178,31.08
categorias_conhecidas (treino),69277,3,razao_alarme_7d_vs_30d_anterior,0.211705,8.56
categorias_conhecidas (treino),69277,4,tipo_caminhao,0.121789,4.93
categorias_conhecidas (treino),69277,5,tag_freq,0.041109,1.66
categorias_conhecidas (treino),69277,6,count_total_24h,0.032396,1.31
categorias_conhecidas (treino),69277,7,horas_desde_ultimo_critico,0.029685,1.2
categorias_conhecidas (treino),69277,8,razao_severidade_14d_vs_60d,0.027321,1.11
categorias_conhecidas (treino),69277,9,mes,0.022039,0.89
categorias_conhecidas (treino),69277,10,count_nao_critico_8h,0.021235,0.86
categorias_unknown (1.812 eventos),1812,1,horas_desde_ultimo_DG,0.879648,39.13
categorias_unknown (1.812 eventos),1812,2,qtd_alarmes_nivel_muito_alto_360min,0.702955,31.27
categorias_unknown (1.812 eventos),1812,3,razao_alarme_7d_vs_30d_anterior,0.202388,9.0
categorias_unknown (1.812 eventos),1812,4,tipo_caminhao,0.142372,6.33
categorias_unknown (1.812 eventos),1812,5,frota_793D_4S,0.046286,2.06
categorias_unknown (1.812 eventos),1812,6,tag_freq,0.03388,1.51
categorias_unknown (1.812 eventos),1812,7,horas_desde_ultimo_critico,0.030264,1.35
categorias_unknown (1.812 eventos),1812,8,mes,0.019615,0.87
categorias_unknown (1.812 eventos),1812,9,count_total_24h,0.01826,0.81
categorias_unknown (1.812 eventos),1812,10,count_total_1h,0.015112,0.67
