lead_min,alvo,n,n_pos,prev,auc_pr,auc_roc,lift,recall_030,prec_030
30,estrito,62282,3517,0.056468963745544457,0.33093356704515164,0.827917142783114,5.860450504039276,0.482797839067387,0.27462396894711305
60,estrito,61423,2658,0.04327369226511242,0.2243697247737024,0.8135834105273347,5.184899023617427,0.4345372460496614,0.2047872340425532
90,estrito,60794,2029,0.03337500411224792,0.16506162024864957,0.8160569890254208,4.945665914931691,0.42533267619517,0.16136873597606582
120,estrito,60302,1537,0.02548837517826938,0.1251399873913171,0.8181205856105291,4.909688692043724,0.4222511385816526,0.12641215426567978
