hiperparametro,espaco_busca,best_value
n_estimators,"int [50, 500]",199.0
learning_rate,"log [0.01, 0.3]",0.013045041863208736
num_leaves,"int [15, 127]",61.0
min_child_samples,"int [10, 100]",60.0
scale_pos_weight,"uniform [0.5, 3.0]",0.5131147654888636
lambda_l1,"log [0.001, 10]",0.3184185809549983
lambda_l2,"log [0.001, 10]",1.8191627038692422
