janela_horas,mes,n_eventos,n_positivos,taxa_positivos_pct
2,1,80955,20747,25.6278
2,2,102677,38791,37.7796
2,3,128011,41607,32.5027
2,4,83328,16419,19.7041
2,5,78825,11084,14.0615
2,6,71089,10442,14.6886
4,1,80955,24210,29.9055
4,2,102677,42735,41.6208
4,3,128011,47768,37.3155
4,4,83328,18164,21.7982
4,5,78825,14481,18.3711
4,6,71089,12038,16.9337
8,1,80955,28811,35.5889
8,2,102677,47204,45.9733
8,3,128011,55987,43.7361
8,4,83328,20817,24.982
8,5,78825,19195,24.3514
8,6,71089,14329,20.1564
