Nome_Operador_Anon,n_eventos,n_dgs,taxa_dg_pct
OP_325,305,0,0.0
OP_302,139,0,0.0
OP_094,5,0,0.0
OP_052,53,0,0.0
OP_357,9,0,0.0
OP_317,123,0,0.0
OP_131,407,0,0.0
OP_244,1,0,0.0
OP_376,8778,0,0.0
OP_074,5669,0,0.0
OP_318,24,0,0.0
OP_279,71,0,0.0
OP_361,8,0,0.0
OP_146,68,0,0.0
OP_101,18,0,0.0
OP_195,5,0,0.0
OP_285,285,0,0.0
OP_296,5029,0,0.0
OP_031,34,0,0.0
OP_367,1,0,0.0
OP_387,79,0,0.0
OP_305,94,0,0.0
OP_312,108,0,0.0
OP_085,425,0,0.0
OP_066,19,0,0.0
OP_211,3,0,0.0
OP_237,326,0,0.0
OP_002,121,0,0.0
OP_370,1954,0,0.0
OP_014,185,0,0.0
OP_176,1,0,0.0
OP_204,2225,0,0.0
OP_364,381,0,0.0
OP_339,580,0,0.0
OP_050,2003,0,0.0
OP_235,119,0,0.0
OP_385,7,0,0.0
OP_273,1775,0,0.0
OP_311,67,0,0.0
OP_191,8,0,0.0
OP_227,734,0,0.0
OP_262,7,0,0.0
OP_142,3,0,0.0
OP_371,62,0,0.0
OP_070,74,0,0.0
OP_265,376,0,0.0
OP_354,9,0,0.0
OP_292,552,0,0.0
OP_158,2139,0,0.0
OP_210,2623,0,0.0
OP_224,12,0,0.0
OP_108,1,0,0.0
OP_304,124,0,0.0
OP_379,52,0,0.0
OP_119,1541,0,0.0
OP_297,105,0,0.0
OP_277,1,0,0.0
OP_300,10,0,0.0
OP_394,58,0,0.0
OP_197,21,0,0.0
OP_353,87,0,0.0
OP_386,56,0,0.0
OP_082,6349,0,0.0
